"","Group 1","Group 2","Group 3","Group 4"
"1","Texas","Cincinnati","Kentucky","Bowling Green"
"2","Ohio State","Memphis","Louisville","William & Mary"
"3","Michigan","Air Force","South Carolina","Montana"
"4","Alabama","South Florida","Minnesota","North Dakota"
"5","Florida","Boise State","Washington","South Alabama"
"6","Texas A&M","New Mexico","North Carolina","Maine"
"7","LSU","Washington State","Nebraska","Sacramento State"
"8","Penn State","Central Florida","Virginia","Louisiana Tech"
"9","Oklahoma","Utah","West Virginia","Appalachian State"
"10","Auburn","San Diego State","Illinois","Idaho"
"11","Wisconsin","Hawaii","Arizona","Illinois State"
"12","Tennessee","Houston","Indiana","Louisiana-Lafayette"
"13","Florida State","East Carolina","UCLA","Vermont"
"14","Arkansas","Old Dominion","California","North Dakota State"
"15","Iowa","James Madison","Virginia Tech","Northern Iowa"
"16","Oregon","Army","Purdue","Troy"
"17","Michigan State","Delaware","Kansas","Long Beach State"
"18","Georgia","Colorado State","Clemson","California-Irvine"
"22","Oklahoma State","Fresno State","Mississippi State","Arkansas State"
"20",NA,"Wyoming","Maryland","College of Charleston"
"21",NA,"Massachusetts","Texas Tech","Tennessee-Chattanooga"
"221",NA,"Marshall","Rutgers","Albany"
"23",NA,"Eastern Michigan","Connecticut","Maryland-Baltimore Cty"
"24",NA,"Ohio","Kansas State","California-Riverside"
"25",NA,"New Mexico State","Georgia Tech","Murray State"
"26",NA,"Miami Ohio","Arizona State","Lamar"
"27",NA,"Alabama at Birmingham","North Carolina State","California-Santa Barbara"
"28",NA,"Western Michigan","Nevada-Las Vegas","Illinois-Chicago"
"29",NA,"Buffalo","Oregon State","South Dakota State"
"30",NA,"Texas-El Paso","Colorado","North Carolina Greensboro"
"31",NA,"Akron","Iowa State","Missouri State"
"32",NA,"Texas State","Mississippi","Binghamton"
"33",NA,"Middle Tennessee State","Missouri","Central Conn State"
"34",NA,"Stony Brook",NA,"Tennessee Tech"
"35",NA,"Western Kentucky",NA,"Norfolk State"
"36",NA,"Central Michigan",NA,"Indiana State"
"37",NA,"Rhode Island",NA,"Delaware State"
"38",NA,"California-Davis",NA,"Portland State"
"39",NA,"Florida International",NA,"Stephen F Austin State"
"40",NA,"Georgia State",NA,"Eastern Kentucky"
"41",NA,"New Hampshire",NA,"Kennesaw State"
"42",NA,"San Jose State",NA,"Eastern Illinois"
"43",NA,"Northern Illinois",NA,"Sam Houston State"
"44",NA,"Florida Atlantic",NA,"Citadel"
"45",NA,"Kent State",NA,"Youngstown State"
"46",NA,"Towson",NA,"East Tennessee State"
"47",NA,"Virginia Commonwealth",NA,"Jacksonville State"
"48",NA,"Montana State",NA,"Idaho State"
"49",NA,"Wichita State",NA,"Radford"
"50",NA,"Texas-San Antonio",NA,"Alabama State"
"51",NA,"Coastal Carolina",NA,"Weber State"
"52",NA,"Nevada",NA,"Northern Arizona"
"53",NA,"Southern Mississippi",NA,"Georgia Southern"
"54",NA,"Toledo",NA,"Louisiana-Monroe"
"55",NA,"Ball State",NA,"North Carolina Wilmington"
"56",NA,"Utah State",NA,"New Jersey Tech"
"57",NA,"North Carolina Charlotte",NA,"Western Illinois"
"58",NA,"Southern Illinois",NA,"North Carolina Tech"
"59",NA,"California Polytechnic",NA,"Winthrop"
"60",NA,"George Mason",NA,"Eastern Washington"
"61",NA,"North Texas",NA,"Western Carolina"
"62",NA,NA,NA,"Northern Colorado"
"63",NA,NA,NA,"Northwestern State La"
"64",NA,NA,NA,"Tennessee State"
"65",NA,NA,NA,"Wisconsin-Milwaukee"
"66",NA,NA,NA,"Florida Gulf Coast"
"67",NA,NA,NA,"Cleveland State"
"68",NA,NA,NA,"Southeastern Louisiana"
"69",NA,NA,NA,"VMI"
"70",NA,NA,NA,"Texas Southern"
"71",NA,NA,NA,"Oakland"
"72",NA,NA,NA,"Florida A&M"
"73",NA,NA,NA,"California State-Fullerton"
"74",NA,NA,NA,"Morehead State"
"75",NA,NA,NA,"California State-Northridge"
"76",NA,NA,NA,"Southern Utah"
"77",NA,NA,NA,"South Carolina State"
"78",NA,NA,NA,"Tennessee-Martin"
"79",NA,NA,NA,"South Dakota"
"80",NA,NA,NA,"Austin Peay"
"81",NA,NA,NA,"Wright State"
"82",NA,NA,NA,"Southeast Missouri State"
"83",NA,NA,NA,"Central Arkansas"
"84",NA,NA,NA,"McNeese State"
"85",NA,NA,NA,"Texas-Arlington"
"86",NA,NA,NA,"Arkansas-Little Rock"
"87",NA,NA,NA,"Texas A&M-Corpus Christi"
"88",NA,NA,NA,"Morgan State"
"89",NA,NA,NA,"Prairie View A&M"
"90",NA,NA,NA,"Missouri-Kansas City"
"91",NA,NA,NA,"Utah Valley"
"92",NA,NA,NA,"North Florida"
"93",NA,NA,NA,"California State-Bakersfield"
"94",NA,NA,NA,"North Carolina Central"
"95",NA,NA,NA,"Longwood"
"96",NA,NA,NA,"Wisconsin-Green Bay"
"97",NA,NA,NA,"Southern Illinois Edwardsville"
"98",NA,NA,NA,"Southern"
"99",NA,NA,NA,"Nicholls State"
"100",NA,NA,NA,"Texas- Pan American"
"101",NA,NA,NA,"Arkansas-Pine Bluff"
"102",NA,NA,NA,"Indiana-Purdue Fort Wayne"
"103",NA,NA,NA,"Indiana-Purdue Indianapolis"
"104",NA,NA,NA,"Savannah State"
"105",NA,NA,NA,"South Carolina Upstate"
"106",NA,NA,NA,"Chicago State"
"107",NA,NA,NA,"Alcorn State"
"108",NA,NA,NA,"Jackson State"
"109",NA,NA,NA,"Maryland-Eastern Shore"
"110",NA,NA,NA,"Alabama A&M"
"111",NA,NA,NA,"North Carolina Asheville"
"112",NA,NA,NA,"Grambling State"
"113",NA,NA,NA,"Mississippi Valley State"
"114",NA,NA,NA,"Coppin State"
