"","Rank","School","Total.Revenue","Total.Expenses","Total.Subsidy","Revenue.Less.Expenses"
"1",1,"Texas",163295115,138269710,0,25025405
"2",2,"Ohio State",142043057,124419412,0,17623645
"3",3,"Michigan",140131187,115200187,258885,24931000
"4",4,"Alabama",124899945,108204867,5461200,16695078
"5",5,"Florida",120772106,105102198,4356457,15669908
"6",6,"Texas A&M",119702222,81792118,5200000,37910104
"7",7,"LSU",114787786,101989116,0,12798670
"8",8,"Penn State",108252281,107389258,0,863023
"9",9,"Oklahoma",106456616,96250328,0,10206288
"10",10,"Auburn",105951251,96315831,4216608,9635420
"11",11,"Wisconsin",103803040,102275206,7127453,1527834
"12",12,"Tennessee",102884286,101292015,1e+06,1592271
"13",13,"Florida State",100049444,90278878,7778861,9770566
"14",14,"Arkansas",99757482,82470473,1949180,17287009
"15",15,"Iowa",97902974,104658746,543574,-6755772
"16",16,"Oregon",94635829,89709350,2475860,4926479
"17",17,"Michigan State",93946707,88100432,4206730,5846275
"18",18,"Georgia",91670613,88923561,3243812,2747052
"19",19,"Kentucky",88373452,84929819,827172,3443633
"20",20,"Louisville",87840501,84133793,10794185,3706708
"21",21,"South Carolina",87608352,84963037,2338268,2645315
"22",22,"Oklahoma State",87270598,96782619,6284687,-9512021
"23",23,"Minnesota",83619526,83619526,6961066,0
"24",24,"Washington",82594783,73833643,3065500,8761140
"25",25,"North Carolina",82424430,81921783,9092082,502647
"26",26,"Nebraska",81631252,77037282,0,4593970
"27",27,"Virginia",80835566,75437849,13131129,5397717
"28",28,"West Virginia",80064869,92968960,4491240,-12904091
"29",29,"Illinois",78708250,76740736,3937890,1967514
"30",30,"Arizona",78024219,76802678,7256468,1221541
"31",31,"Indiana",72973954,69915060,2782080,3058894
"32",32,"UCLA",71731776,71731776,2775664,0
"33",33,"California",71183404,68578362,9518112,2605042
"34",34,"Virginia Tech",70723748,66970798,7665205,3752950
"35",35,"Purdue",70624394,68056269,0,2568125
"36",36,"Kansas",70228913,78973441,2850173,-8744528
"37",37,"Clemson",70002280,67783797,5316712,2218483
"38",38,"Mississippi State",69828880,67926160,4e+06,1902720
"39",39,"Maryland",68142660,68109639,17244084,33021
"40",40,"Texas Tech",67928350,60346836,3753979,7581514
"41",41,"Rutgers",64038720,64038720,27996056,0
"42",42,"Connecticut",63566909,63828620,17279913,-261711
"43",43,"Kansas State",63271615,50994785,2735933,12276830
"44",44,"Georgia Tech",63184163,61179789,6914742,2004374
"45",45,"Arizona State",59855508,65587903,10343841,-5732395
"46",46,"North Carolina State",59757911,56332313,5426700,3425598
"47",47,"Nevada-Las Vegas",58806533,58691671,32596860,114862
"48",48,"Oregon State",58706837,57819032,18727419,887805
"49",49,"Colorado",57098868,54257246,15915396,2841622
"50",50,"Iowa State",55151017,55113720,1721449,37297
"51",51,"Mississippi",51858993,51708064,2166216,150929
"52",52,"Missouri",50719665,66980889,1935944,-16261224
"53",53,"Cincinnati",48892291,49868204,16509915,-975913
"54",54,"Memphis",46783503,46786144,18833745,-2641
"55",55,"Air Force",44490055,43156740,27503590,1333315
"56",56,"South Florida",43574400,43067025,16688650,507375
"57",57,"Boise State",43440905,43172225,10841023,268680
"58",58,"New Mexico",43284573,44321779,18082317,-1037206
"59",59,"Washington State",42729548,47962255,8792227,-5232707
"60",60,"Central Florida",40993870,40009614,22412407,984256
"61",61,"Utah",40838218,43719503,9982503,-2881285
"62",62,"San Diego State",38003291,39017254,16879161,-1013963
"63",63,"Hawaii",37879740,40319775,13647381,-2440035
"64",64,"Houston",36652492,36395207,21343858,257285
"65",65,"East Carolina",35575172,33623495,14387530,1951677
"66",66,"Old Dominion",35247421,34375037,26024885,872384
"67",67,"James Madison",34595223,34595223,27298448,0
"68",68,"Army",31498762,26301738,11162118,5197024
"69",69,"Delaware",31115528,31115528,23434793,0
"70",70,"Colorado State",30802879,30161147,14922242,641732
"71",71,"Fresno State",30724143,30174803,13041439,549340
"72",72,"Wyoming",30266873,30476152,15229766,-209279
"73",73,"Massachusetts",29762217,29465734,24375673,296483
"74",74,"Marshall",29203535,26816730,14477976,2386805
"75",75,"Eastern Michigan",29062905,27798118,24298925,1264787
"76",76,"Ohio",28671520,24408346,20671381,4263174
"77",77,"New Mexico State",28559494,27426388,19196819,1133106
"78",78,"Miami Ohio",28121483,27832911,19984350,288572
"79",79,"Alabama at Birmingham",28114179,27412637,18738806,701542
"80",80,"Western Michigan",27899949,27817159,19802833,82790
"81",81,"Buffalo",27480211,27478169,20119546,2042
"82",82,"Texas-El Paso",27230937,27092238,14885768,138699
"83",83,"Akron",27217473,27225730,19345965,-8257
"84",84,"Texas State",26886756,25439818,19012915,1446938
"85",85,"Middle Tennessee State",26555473,26450723,19189964,104750
"86",86,"Stony Brook",25938411,23875960,18088797,2062451
"87",87,"Western Kentucky",25770262,25770262,17695632,0
"88",88,"Central Michigan",25738861,25738861,17260950,0
"89",89,"Rhode Island",25719036,25016244,19755157,702792
"90",90,"California-Davis",25554765,26984595,20811787,-1429830
"91",91,"Florida International",25201564,27428271,21011935,-2226707
"92",92,"Georgia State",24540533,25943332,21269972,-1402799
"93",93,"New Hampshire",24436579,24716355,16597465,-279776
"94",94,"San Jose State",23918785,23505166,15907844,413619
"95",95,"Northern Illinois",23504505,23863877,17010552,-359372
"96",96,"Florida Atlantic",23226481,20020133,13936229,3206348
